,0 beds,1 bath,1 bed,1 bedroom,1 guest,1 private bath,1 shared bath,1.5 baths,1.5 private baths,1.5 shared baths,2 baths,2 bedrooms,2 beds,2 guests,2 private baths,2 shared baths,2.5 shared baths,3 bedrooms,3 beds,3 guests,3 shared baths,4 beds,4 guests,5 beds,5 guests,6 beds,6 guests,Boat,Camper/RV,Private room in apartment,Shared half-bath,Studio,free_cancel,lat,long,plus,price,ratings,rental_price_norm,reviews,superhost,entire_place,private_room,no_baths,shared_room,logprice
12,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7158747,-122.4483555,0,74,4.5,1.010097363,405,0,0,1,0,0,4.30406509320417
13,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7763219,-122.48067179999998,0,66,5.0,1.172587433,548,1,1,0,0,0,4.189654742026425
14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37.7165031,-122.4669416,0,70,4.5,0.922057288,215,0,1,0,0,0,4.248495242049359
15,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7249146,-122.4351552,0,59,4.5,1.010097363,332,1,0,1,0,0,4.07753744390572
16,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7117019,-122.4345145,0,98,5.0,1.010097363,347,1,0,1,0,0,4.584967478670572
17,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7505731,-122.4172257,0,67,4.5,1.047322361,213,0,0,1,0,0,4.204692619390966
18,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37.7184688,-122.4518128,0,100,5.0,1.010097363,275,0,1,0,0,0,4.605170185988092
19,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7897383,-122.4343917,0,129,5.0,0.8712422120000001,423,1,0,1,0,0,4.859812404361672
20,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.733,-122.415,0,25,5.0,0.983212642,146,1,0,1,0,0,3.2188758248682006
21,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.7946091,-122.4121318,0,48,4.5,0.871833085,269,0,0,0,0,0,3.871201010907891
22,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.746602,-122.4791699,0,40,5.0,0.922057288,72,1,0,1,0,0,3.6888794541139363
23,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7214736,-122.4086808,0,69,5.0,0.983212642,238,1,0,1,0,0,4.23410650459726
24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,37.881902,-122.263316,0,69,5.0,1.054708273,460,1,1,0,0,0,4.23410650459726
25,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7846034,-122.4438868,0,105,4.5,0.959577723,223,1,1,0,0,0,4.653960350157523
26,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.808,-122.288,0,39,5.0,1.054708273,459,1,0,1,0,0,3.6635616461296463
27,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.794,-122.404,0,38,4.5,1.024869187,324,0,0,0,0,1,3.6375861597263857
28,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7455531,-122.4338365,0,99,5.0,0.922057288,456,1,1,0,0,0,4.59511985013459
29,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7471,-122.4122,1,130,5.0,1.047322361,117,1,0,1,0,0,4.867534450455582
30,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.7685857,-122.4334845,0,75,5.0,0.943033279,59,0,0,0,0,0,4.31748811353631
31,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.8029201,-122.1919307,0,81,5.0,1.054708273,268,1,1,0,0,0,4.394449154672439
32,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.7871883,-122.4303328,0,76,5.0,0.849084475,344,1,0,0,0,0,4.330733340286331
33,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7244056,-122.4351689,0,60,5.0,1.010097363,314,1,0,1,0,0,4.0943445622221
34,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7703033,-122.4502068,0,53,4.5,0.943033279,344,0,0,1,0,0,3.970291913552122
35,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7573398,-122.508541,0,130,5.0,1.121772356,225,1,1,0,0,0,4.867534450455582
36,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37.7636947,-122.4530373,0,141,5.0,1.001234268,450,1,1,0,0,0,4.948759890378168
37,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.76746470000001,-122.4448272,0,185,5.0,0.943033279,240,1,1,0,0,0,5.220355825078324
38,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.878887,-122.5370332,0,160,5.0,1.172587433,808,1,1,0,0,0,5.075173815233827
39,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7544,-122.4477,1,120,5.0,1.083661049,182,1,0,1,0,0,4.787491742782046
40,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7670959,-122.4241492,0,140,5.0,1.055299146,343,1,1,0,0,0,4.941642422609304
